variable name;mean;sd;Last
CPO HUMIDITY;0;0;nan
SES TEMPERATURE 2;0;0;nan
SES HUMIDITY 2;0;0;nan
AMS-SES-FAN AIR IN;0;0;nan
AMS-SES-VALVE AIR IN;0;0;nan
AMS-SES-HUMIDIFIER AIR IN;0;0;nan
AMS-SES-HEATER AIR IN;0;0;nan
FEG LVL SWITCH COND MAX;0;0;nan
FEG  TEMPERATURE PHM 2;0;0;nan
FEG HUMIDITY PHM 2;0;0;nan
FEG TEMPERATURE PHM 3;0;0;nan
FEG HUMIDITY PHM 3;0;0;nan
FEG TEMPERATURE PHM 4;0;0;nan
FEG HUMIDITY PHM 4;0;0;nan
FLOW METER TANK 1;100;0;nan
EC Setpoint;220;0;nan
pH Setpoint;590;0;nan
EC Setpoint 2;350;0;nan
pH Setpoint 2;590;0;nan
SES TEMPERATURE;-40;0.18;0.0093
SES HUMIDITY TARGET;30;0.25;0.018
AMS-FEG-FANS CIRC L1.L2;99.99;0.83;0.018
AMS-FEG-FANS CIRC L3.L4;99.99;0.83;0.018
AMS-FEG-FANS CIRC R1.R2;99.99;0.83;0.018
AMS-FEG-FANS CIRC R3.R4;99.99;0.83;0.018
AMS-FEG-UV LAMP AIR;99.99;0.83;0.018
NDS-BASE SOLENOID;0.01;0.92;0.0186
FEG AIR FLOW;0.76;6.78;0.0205
NDS-BASE DOSING PUMP ;0.01;1.03;0.0208
NDS-ACID SOLENOID;0.01;1.21;0.0246
PDS TEMP CONTROL BOX;169.58;503.41;0.0452
SUBFLOOR CPO 2;97.62;285.77;0.0484
AMS-FEG-FAN AIR LOOP 1;70.53;2.51;0.0551
AMS-FEG-FAN AIR LOOP 2;70.53;2.51;0.0551
SES TEMP AIR IN 1;181.01;567.44;0.0585
FEG HUMIDITY TARGET;64.5;1.61;0.0612
NDS-ACID DOSING PUMP ;0.27;5.13;0.1029
FLOW METER TANK 2;99.28;8.48;0.1074
SES TEMP AIR IN 2;846.67;1114.15;0.1104
NDS-SOLENOID FW TANK 1;0.3;5.47;0.1106
NDS-REC PUMP TANK 1;99.59;6.38;0.1133
NDS-REC PUMP TANK 2;99.59;6.36;0.1134
NDS-SOLENOID FW TANK 2;0.49;6.94;0.1414
NDS-A DOSING PUMP;0.51;7.13;0.1426
NDS-B DOSING PUMP;0.51;7.13;0.1426
SES DOOR STATUS;82.75;900.23;0.18
