name;Last;Repeat;pick;;name;Last;Repeat;pick
SES TEMPERATURE TARGET;0.7909;0.0309;decide;;L4-2L RED;0.9649;0.0624;decide
FEG CO2 TARGET;0.8565;0.0333;decide;;L4-2R RED;0.9649;0.0624;decide
FEG TEMPERATURE TARGET;0.8259;0.0383;decide;;L3-3L BLUE;0.9626;0.0626;decide
L4-3R RED;0.9375;0.0557;decide;;L3-3R BLUE;0.9626;0.0626;decide
L4-3R BLUE;0.939;0.0558;decide;;L4-4R BLUE;0.9633;0.063;decide
L3-3L RED;0.8455;0.0573;decide;;L4-4L BLUE;0.9642;0.0636;decide
L3-3R RED;0.8455;0.0573;decide;;L3-1L BLUE;0.9646;0.0636;decide
NDS-OZONE GENERATOR;0.7274;0.06;decide;;L3-1R BLUE;0.9646;0.0636;decide
L4-4R RED;0.8512;0.0606;decide;;L1-2L FAR RED;0.8941;0.0641;decide
L3-2R BLUE;0.9649;0.0623;decide;;L1-2R FAR RED;0.8941;0.0641;decide
L4-3L BLUE;0.9649;0.0623;decide;;L1-4L FAR RED;0.8941;0.0641;decide
R1-2R BLUE;0.9649;0.0623;decide;;L3-2L RED;0.9405;0.0654;decide
R1-2L BLUE;0.9649;0.0623;decide;;L3-2L BLUE;0.942;0.0654;decide
R1-4R BLUE;0.9649;0.0623;decide;;L3-4R BLUE;0.9657;0.0663;decide
R1-4L BLUE;0.9649;0.0623;decide;;L3-4R RED;0.9657;0.0664;decide
R2-2R BLUE;0.9649;0.0623;decide;;L2-3L RED;0.9616;0.0671;decide
R2-2L BLUE;0.9649;0.0623;decide;;L2-3R RED;0.9616;0.0671;decide
R2-4R BLUE;0.9649;0.0623;decide;;L2-3L BLUE;0.9617;0.0671;decide
R2-4L BLUE;0.9649;0.0623;decide;;L2-3R BLUE;0.9617;0.0671;decide
R3-2/4R BLUE;0.9649;0.0623;decide;;L2-4L BLUE;0.9435;0.0673;decide
R3-2/4L BLUE;0.9649;0.0623;decide;;L2-4R BLUE;0.9435;0.0673;decide
L3-2R RED;0.9649;0.0623;decide;;L4-4L RED;0.8823;0.0674;decide
L4-3L RED;0.9649;0.0623;decide;;L2-4L RED;0.9424;0.0674;decide
R3-2/4R RED;0.9649;0.0623;decide;;L2-4R RED;0.9424;0.0674;decide
R3-2/4L RED;0.9649;0.0623;decide;;L3-1L RED;0.9424;0.0674;decide
R1-2R RED;0.9637;0.0624;decide;;L3-1R RED;0.9424;0.0674;decide
R1-2L RED;0.9637;0.0624;decide;;L1-2R BLUE;0.922;0.0694;decide
R1-4R RED;0.9637;0.0624;decide;;L1-2L BLUE;0.9221;0.0694;decide
R1-4L RED;0.9637;0.0624;decide;;L1-2L RED;0.8376;0.07;decide
R2-2R RED;0.9637;0.0624;decide;;L1-2R RED;0.8376;0.07;decide
R2-2L RED;0.9637;0.0624;decide;;R4-4R BLUE;0.8494;0.0717;decide
R2-4R RED;0.9637;0.0624;decide;;R4-4L BLUE;0.8495;0.0717;decide
R2-4L RED;0.9637;0.0624;decide;;R4-2L BLUE;0.9287;0.0727;decide
L2-1L BLUE;0.9649;0.0624;decide;;L1-4L BLUE;0.9202;0.0731;decide
L2-1R BLUE;0.9649;0.0624;decide;;L1-4R BLUE;0.9202;0.0731;decide
L2-2L BLUE;0.9649;0.0624;decide;;R4-4L RED;0.8591;0.0744;decide
L2-2R BLUE;0.9649;0.0624;decide;;R4-4R RED;0.8592;0.0744;decide
L3-4L BLUE;0.9649;0.0624;decide;;R4-2R BLUE;0.9199;0.075;decide
L4-1L BLUE;0.9649;0.0624;decide;;L1-4L RED;0.8219;0.0757;decide
L4-1R BLUE;0.9649;0.0624;decide;;L1-4R RED;0.8219;0.0757;decide
L4-2L BLUE;0.9649;0.0624;decide;;R4-2L RED;0.864;0.076;decide
L4-2R BLUE;0.9649;0.0624;decide;;R4-2R RED;0.719;0.08;decide
L2-1L RED;0.9649;0.0624;decide;;FEG PAR LIGHT 2;0.9341;0.0982;decide
L2-1R RED;0.9649;0.0624;decide;;NDS-SOLENOID FW TANK 1;0.1106;0.1025;decide
L2-2L RED;0.9649;0.0624;decide;;NDS-ACID DOSING PUMP ;0.1029;0.1051;decide
L2-2R RED;0.9649;0.0624;decide;;FEG PAR LIGHT 1;0.9409;0.1377;decide
L3-4L RED;0.9649;0.0624;decide;;NDS-SOLENOID FW TANK 2;0.1414;0.1401;decide
L4-1L RED;0.9649;0.0624;decide;;NDS-A DOSING PUMP;0.1426;0.1432;decide
L4-1R RED;0.9649;0.0624;decide;;NDS-B DOSING PUMP;0.1426;0.1432;decide
