;0
SUBFLOOR CPO 1;0.2972432
FEG TEMPERATURE 1;0.36854482
FEG TEMPERATURE PHM 1;0.65224767
FEG TEMPERATURE AMS 2;1.1197509
R4-4R;0.31835654
L4-3L;0.53701806
NDS-D DOSING PUMP;0.30424586
VOLUME TANK 2;0.61947936
L4-1R;0.4413502
FEG CALCULATED VPD 1;0.7159371
L4-4R;0.5322934
R1-4R;0.55500084
L4-2R;0.27981082
TEMP 1 TANK 1;0.79075086
EC 2 TANK 2;0.4739893
R1-2R;0.3918404
FEG TEMPERATURE TARGET;0.22467844
L3-1R;0.4896173
L3-4R;0.55402696
L2-2L;0.5362984
SES CALCULATED VPD 1;0.4806872
FEG CALCULATED VPD 2;0.66250396
L2-4 R;0.6960921
R4-2L;0.40214062
FEG PAR LIGHT 1;0.2861222
FEG CO2 2;0.90395576
L2-3R;0.61585486
FEG CO2 1;0.9035611
SES PAR LIGHT 1;0.2775725
L3-4L;0.5318541
pH 2 TANK 1;2.4513416
L3-2L;0.3628192
L3-1L;0.4078314
L4-1L;0.50911605
L4-4L;0.5879459
L3-3R;0.7650151
EC 2 TANK 1;0.4701763
NDS-B DOSING PUMP;0.20147935
pH 1 TANK 2;0.4923785
R2-4R;0.5317691
SES DOOR STATUS;0.38605544
FEG HUMIDITY 1;0.7918313
L2-2R;0.5151222
FEG HUMIDITY PHM 1;0.928673
R1-4L;0.54862267
L3-3L;0.8149307
pH 2 TANK 2;0.5618419
NDS-C DOSING PUMP;0.30424586
R2-2L;0.4550007
NDS-OZONE GENERATOR;0.5110702
FEG CO2 TARGET;0.23165332
FEG TEMPERATURE AMS 1;0.8046403
NDS-SOLENOID FW TANK 1;0.20763136
R2-2R;0.541698
EC 1 TANK 1;0.4962191
L3-2R;0.5214387
TEMP 1 TANK 2;0.39929575
LEVEL SENSOR TANK 1;0.7280081
LEVEL SENSOR TANK 2;0.621562
L2-4R;0.5272729
TEMP 2 TANK 1;0.7858298
L2-3L;0.6435572
R1-2L;0.46405342
FEG HUMIDITY AMS 1;1.1347405
L1-4L;0.63108015
TCS TEMP OUT WINDOW;0.69465816
FEG PAR LIGHT 2;0.26352742
L4-2L;0.4225355
FEG OXYGEN;0.8687524
L1-2R;0.64855564
L4-3R;0.4321397
FEG HUMIDITY 2;0.770209
TCS TEMP OUT EXIT;0.7662132
R4-4L;0.34154618
R4-2R;0.4368397
TEMP 2 TANK 2;0.4419575
L1-2L;0.50399613
NDS-A DOSING PUMP;0.20147935
L2-4L;0.5482344
NDS-SOLENOID FW TANK 2;0.22835624
FEG TEMPERATURE 2;0.31439042
FEG HUMIDITY AMS 2;0.9216646
R3-4R;0.40293112
NDS-ACID DOSING PUMP ;0.3187614
SES HUMIDITY 1;0.5139131
AMS-FEG-HEATER AIR;0.80218697
L2-1R;0.48622072
R2-4L;0.42983168
SES TEMPERATURE TARGET;0.2130155
SES TEMPERATURE 1;0.63753825
VOLUME TANK 1;0.7278851
L2-1L;0.53826946
SES CO2 1;0.9363858
pH 1 TANK 1;2.5422683
EC 1 TANK 2;0.44643566
R3-4L;0.46453774
