Nr;;LSTM MAE;Last MAE;improve
51;FEG PAR LIGHT 2;0.291;0.934;0.643
7;FEG CO2 TARGET;0.233;0.857;0.624
67;L4-2R;0.291;0.914;0.623
20;R4-4R;0.335;0.949;0.614
56;R4-4L;0.364;0.965;0.602
22;FEG TEMPERATURE TARGET;0.232;0.826;0.594
54;SES TEMPERATURE TARGET;0.220;0.791;0.571
82;FEG PAR LIGHT 1;0.371;0.941;0.570
57;L3-1L;0.418;0.965;0.547
42;R3-4R;0.444;0.979;0.536
80;FEG TEMPERATURE 2;0.374;0.900;0.526
89;R1-2R;0.422;0.945;0.522
60;L3-2L;0.379;0.868;0.489
61;FEG TEMPERATURE 1;0.430;0.913;0.483
72;R2-4L;0.465;0.944;0.479
32;R4-2L;0.447;0.918;0.472
2;R3-4L;0.508;0.975;0.467
3;L1-2L;0.489;0.947;0.458
75;R2-2L;0.483;0.926;0.443
83;R1-2L;0.495;0.936;0.441
90;L4-3R;0.434;0.873;0.439
28;L4-1R;0.444;0.871;0.427
81;R4-2R;0.473;0.891;0.418
49;L4-2L;0.419;0.833;0.414
71;FEG TEMPERATURE PHM 1;0.544;0.941;0.397
77;L3-1R;0.490;0.853;0.363
66;R2-4R;0.557;0.897;0.340
27;R2-2R;0.570;0.907;0.337
40;R1-4L;0.578;0.912;0.334
65;R1-4R;0.585;0.916;0.330
33;L2-1R;0.483;0.812;0.329
92;L4-1L;0.505;0.816;0.311
18;L1-4L;0.592;0.897;0.305
37;L3-2R;0.524;0.820;0.295
63;L2-4R;0.533;0.827;0.294
4;L3-4L;0.536;0.830;0.294
5;L1-2R;0.630;0.922;0.292
46;L4-4R;0.525;0.816;0.291
12;L2-2R;0.512;0.801;0.289
31;L4-3L;0.537;0.816;0.279
76;L2-1L;0.540;0.816;0.276
74;L2-4L;0.552;0.816;0.264
19;L2-2L;0.533;0.780;0.247
58;TEMP 1 TANK 2;0.341;0.572;0.231
13;L2-3R;0.613;0.836;0.223
26;TEMP 2 TANK 2;0.345;0.566;0.220
84;L2-4 R;0.672;0.892;0.220
35;L3-4R;0.540;0.755;0.215
10;NDS-OZONE GENERATOR;0.518;0.727;0.210
45;L4-4L;0.578;0.781;0.203
73;FEG TEMPERATURE AMS 1;0.697;0.857;0.161
14;VOLUME TANK 2;0.628;0.785;0.156
79;LEVEL SENSOR TANK 2;0.631;0.786;0.156
39;L2-3L;0.637;0.785;0.147
69;FEG CALCULATED VPD 1;0.663;0.766;0.104
53;SES TEMPERATURE 1;0.520;0.600;0.080
78;TEMP 2 TANK 1;0.561;0.615;0.054
15;SES PAR LIGHT 1;0.228;0.272;0.043
24;TEMP 1 TANK 1;0.570;0.608;0.038
47;FEG HUMIDITY AMS 2;0.868;0.901;0.033
48;LEVEL SENSOR TANK 1;0.806;0.828;0.022
64;VOLUME TANK 1;0.806;0.828;0.022
36;AMS-FEG-HEATER AIR;0.733;0.753;0.019
52;L3-3L;0.817;0.833;0.016
41;L3-3R;0.758;0.773;0.014
94;SES CALCULATED VPD 1;0.447;0.433;-0.014
91;FEG CALCULATED VPD 2;0.702;0.678;-0.024
6;NDS-A DOSING PUMP;0.210;0.143;-0.067
23;NDS-B DOSING PUMP;0.210;0.143;-0.067
0;EC 1 TANK 2;0.440;0.365;-0.075
11;pH 1 TANK 2;0.499;0.417;-0.082
43;SUBFLOOR CPO 1;0.312;0.204;-0.108
21;TCS TEMP OUT WINDOW;0.555;0.446;-0.110
85;SES HUMIDITY 1;0.576;0.459;-0.117
62;NDS-C DOSING PUMP;0.327;0.207;-0.120
93;NDS-D DOSING PUMP;0.327;0.207;-0.120
30;NDS-SOLENOID FW TANK 2;0.275;0.141;-0.134
44;NDS-SOLENOID FW TANK 1;0.251;0.111;-0.141
16;pH 2 TANK 2;0.545;0.400;-0.145
50;EC 2 TANK 2;0.479;0.318;-0.162
70;TCS TEMP OUT EXIT;0.622;0.417;-0.205
1;FEG HUMIDITY 1;0.754;0.537;-0.217
34;FEG HUMIDITY PHM 1;0.858;0.639;-0.219
88;FEG CO2 1;0.937;0.708;-0.229
29;FEG CO2 2;0.942;0.702;-0.239
68;FEG TEMPERATURE AMS 2;1.098;0.854;-0.244
17;SES DOOR STATUS;0.426;0.180;-0.246
55;SES CO2 1;0.976;0.729;-0.247
95;NDS-ACID DOSING PUMP ;0.369;0.103;-0.267
9;FEG HUMIDITY 2;0.813;0.509;-0.304
38;FEG OXYGEN;0.734;0.401;-0.333
86;EC 1 TANK 1;0.817;0.333;-0.484
87;FEG HUMIDITY AMS 1;1.072;0.570;-0.501
25;EC 2 TANK 1;0.860;0.288;-0.573
8;pH 2 TANK 1;2.156;0.266;-1.890
59;pH 1 TANK 1;2.276;0.247;-2.029
